instance,size,time-colgen-itUB-CUT-heuLB,ub-colgen-itUB-CUT-heuLB,lb-colgen-itUB-CUT-heuLB,sol-colgen-itUB-CUT-heuLB,time-colgen-CUT-heuLB-liftD,ub-colgen-CUT-heuLB-liftD,lb-colgen-CUT-heuLB-liftD,sol-colgen-CUT-heuLB-liftD
r025-014,25,1.93916,5,5,5,2.77763,10,5,5
r025-015,25,1.15895,5,5,5,0.857619,11,5,5
r025-016,25,2.20662,5,5,5,3.75464,12,5,5
r025-017,25,1.07111,5,5,5,1.02106,10,5,5
r025-018,25,54.1487,4,3,3,89.1148,8,3,3
r025-019,25,2.03432,5,5,5,2.02009,8,5,5
r025-020,25,1.01928,11,11,11,0.670139,16,11,11
r025-021,25,1.00986,7,7,7,0.596254,11,7,7
r025-022,25,3.51581,6,6,6,1.78661,13,6,6
r025-023,25,1.85517,5,5,5,5.30149,8,5,5
r025-024,25,1.84048,4,4,4,15.3034,8,4,4
r025-025,25,2.54792,4,4,4,28.0548,9,4,4
r025-026,25,186.201,4,3,4,120.3,9,3,4
r025-027,25,1.13064,7,7,7,0.635333,13,7,7
r025-028,25,2.6587,5,5,5,1.98097,9,5,5
r025-029,25,2.59664,5,5,5,10.9164,12,5,5
r030-000,30,2.12694,7,7,7,1.30981,10,7,7
r030-001,30,2.47313,6,6,6,1.66861,13,6,6
r030-002,30,1.64898,10,10,10,1.05986,14,10,10
r030-003,30,465.844,5,4,5,465.101,11,4,5
r030-004,30,3.3991,6,6,6,2.6116,11,6,6
r030-005,30,4.58684,5,5,5,46.3581,11,5,5
r030-006,30,4.65743,6,6,6,10.5412,11,6,6
r030-007,30,3.82892,6,6,6,5.76741,10,6,6
r030-008,30,5.62952,6,6,6,22.0327,14,6,6
r030-009,30,4.67666,6,6,6,15.7883,13,6,6
r030-010,30,5.07959,6,6,6,2.95461,13,6,6
r030-011,30,3.74391,6,6,6,2.36304,11,6,6
r030-012,30,2.98601,6,6,6,2.13192,10,6,6
r030-013,30,2.72083,6,6,6,2.35473,15,6,6
r030-014,30,2.25313,6,6,6,1.85828,10,6,6
r030-015,30,2.66422,6,6,6,2.00935,12,6,6
r030-016,30,5.31258,6,5,5,7.12254,9,5,5
r030-017,30,1.73344,8,8,8,1.18271,12,8,8
r030-018,30,4.28221,5,5,5,186.449,11,5,5
r030-019,30,5.51655,6,6,6,13.7533,13,6,6
r030-020,30,3.41761,5,5,5,3.45975,8,5,5
r030-021,30,4.10548,6,6,6,5.5355,11,6,6
r030-022,30,3.48725,7,7,7,3.7577,15,7,7
r030-023,30,1054.31,5,3,4,418.851,9,3,4
r030-024,30,1.88287,8,8,8,1.20522,11,8,8
r030-025,30,6.89086,4,4,4,150.953,9,4,4
r030-026,30,2.16483,8,8,8,1.71122,13,8,8
r030-027,30,4.82623,4,4,4,149.179,8,4,4
r030-028,30,5.70068,5,5,5,96.4352,11,5,5
r030-029,30,103.3,5,4,4,534.17,10,4,4
r035-000,35,4.65155,8,8,8,3.37322,11,8,8
r035-001,35,3.92324,7,7,7,2.86777,12,7,7
r035-002,35,4.99415,11,11,11,3.7057,17,11,11
