instance,size,time-relax,gap-relax,ub-relax,lb-relax,sol-relax,time-relax-heuLB,gap-relax-heuLB,ub-relax-heuLB,lb-relax-heuLB,sol-relax-heuLB,time-relax-CUT-heuLB,gap-relax-CUT-heuLB,ub-relax-CUT-heuLB,lb-relax-CUT-heuLB,sol-relax-CUT-heuLB,time-relax-itUB-CUT-heuLB,gap-relax-itUB-CUT-heuLB,ub-relax-itUB-CUT-heuLB,lb-relax-itUB-CUT-heuLB,sol-relax-itUB-CUT-heuLB
r020-022,20,4.46456,0.4432976376,9,1,8.98146,1.62143,0.4137929822,9,5,8.52941,1.51099,0.2647058824,9,5,6.8,3.53685,0,5,5,5
r020-023,20,3.53114,0.3734594935,8,1,7.98033,1.41624,0.3131868132,8,5,7.28,1.1673,0.1509435564,8,5,5.88889,2.33771,0,5,5,5
r020-024,20,4.7206,0.4432356472,9,1,8.98046,1.59436,0,9,5,5,1.23239,0,9,5,5,2.51031,0,5,5,5
r020-025,20,56.2647,0.5827178422,12,1,11.9823,2.95871,0.5737716098,12,5,11.7308,2.36534,0.4047619048,12,5,8.4,10.9313,0,5,5,5
r020-026,20,20.2102,0.5546157949,9,1,8.98101,2.07355,0.54761929,9,4,8.84211,2.18331,0.4523811154,9,4,7.30435,7.79558,0,4,4,4
r020-027,20,3.79738,0.4984778804,6,1,5.98179,3.31089,0.4984778804,6,2,5.98179,2.29543,0.4873416099,6,2,5.85185,9.63103,0,3,2,3
r020-028,20,8.62526,0.4535270276,11,1,10.9795,1.77222,0,11,6,6,1.59781,0,11,6,6,2.78844,0,6,6,6
r020-029,20,44.5581,0.2489692102,8,1,7.98902,1.68901,0,8,6,6,1.45527,0,8,6,6,3.44112,0,6,6,6
r025-000,25,,,,,,74.679,0,12,5,5,28.7011,0,12,5,5,37.2281,0,5,5,5
r025-001,25,,,,,,3.42294,0,9,7,7,3.70118,0,9,7,7,8.199,0,7,7,7
r025-002,25,,,,,,5.19342,0,9,5,5,5.25089,0,9,5,5,11.8965,0,5,5,5
r025-003,25,,,,,,5.50825,0,12,7,7,5.57408,0,12,7,7,12.8597,0,7,7,7
r025-004,25,,,,,,10.1743,0.4705879862,10,5,9.44444,7.64997,0,10,5,5,16.0114,0,5,5,5
r025-005,25,,,,,,65.6004,0.4987713633,8,3,7.98039,20.5275,0.4592453498,8,3,7.39707,134.731,0,4,3,4
r025-006,25,,,,,,7.77959,0,14,11,11,7.82296,0,14,11,11,18.3896,0,11,11,11
r025-007,25,,,,,,67.8006,0.5536451568,9,4,8.96148,68.343,0.5,9,4,8,259.97,0.2,5,4,5
r025-008,25,,,,,,32.5796,0.4973264048,8,4,7.95745,21.287,0.4463008746,8,4,7.22414,76.0385,0.2,5,4,5
r025-009,25,,,,,,7.69423,0.4910392368,10,5,9.82394,7.28049,0.3478263705,10,5,7.66667,24.502,0,5,5,5
r025-010,25,,,,,,4.84822,0.4961658219,8,4,7.93912,4.53795,0.468451253,8,4,7.52518,17.7411,0.2,5,4,5
r025-011,25,,,,,,4.53587,0,14,11,11,4.59416,0,14,11,11,11.0922,0,11,11,11
r025-012,25,,,,,,4.30525,0.4359033951,9,5,8.86373,4.42915,0.3442622951,9,5,7.625,13.4722,0,5,5,5
r025-013,25,,,,,,26.2591,0.5503521305,9,4,8.89585,18.1106,0.4989383757,9,4,7.98305,53.1802,0,4,4,4
r025-014,25,,,,,,5.0336,0.464285523,10,5,9.33333,5.32064,0.1666666667,10,5,6,12.9846,0,5,5,5
r025-015,25,,,,,,8.44055,0.5141055168,11,5,10.2903,7.89586,0,11,5,5,14.4376,0,5,5,5
r025-016,25,,,,,,23.1278,0.5695258758,12,5,11.6151,16.4809,0.4285714286,12,5,8.75,53.3054,0,5,5,5
r025-017,25,,,,,,8.38755,0.4605261596,10,5,9.26829,9.42234,0.1139244993,10,5,5.64286,17.5384,0,5,5,5
r025-018,25,,,,,,169.879,0.6240441322,8,3,7.97966,62.1104,0.5997758745,8,3,7.4958,355.142,0.25,4,3,4
